jobID,Calc,Real,Guess,pNFound,GuessDiff,CalcDiff
23787,17,10,8.23,90%,18%,70%
40496,10,11,8.4,90%,24%,9%
21373,1,6,4.36,90%,27%,83%
25636,50,26,18.19,90%,30%,92%
33267,32,23,15.25,90%,34%,39%
41068,26.5,24,12.89,90%,46%,10%
14016,63,33,17.16,90%,48%,91%
13482,151.3,105,49.89,90%,52%,44%
15328,42,66,23.65,90%,64%,36%
37345,45,51,17.92,90%,65%,12%
13051,27.5,51,17.86,90%,65%,46%
25691,3,2,3.38,90%,69%,50%
20257,15,16,4.28,90%,73%,6%
24528,28,3,0.54,90%,82%,833%
33720,7.5,34,4.86,90%,86%,78%
31901,56.65,39,4.65,90%,88%,45%
28102,55.5,16,76.62,90%,379%,247%
29740,22,58,66.07,91%,14%,62%
14712,5,11,9.26,91%,16%,55%
9423,114,39,32.45,91%,17%,192%
39865,13.5,14,11.41,91%,19%,4%
37195,9,7,4.52,91%,35%,29%
10374,8,196,265.81,91%,36%,96%
23542,11.5,12,17.26,91%,44%,4%
11001,45,24,11.93,91%,50%,88%
30277,15,20,9.83,91%,51%,25%
7696,60,51,24.09,91%,53%,18%
26696,3.85,12,5.48,91%,54%,68%
24598,40,47,8.52,91%,82%,15%
16103,45,2,3.73,91%,87%,2150%
24086,28,29,3.51,91%,88%,3%
45959,7,6,0.6,91%,90%,17%
29196,70,69,6.16,91%,91%,1%
23988,65,115,6.01,91%,95%,43%
34076,7.5,2,4.31,91%,116%,275%
10438,5,13,51.59,91%,297%,62%
12742,28,8,8.13,92%,2%,250%
16415,12,6,6.2,92%,3%,100%
45362,6,5,4.45,92%,11%,20%
3216,17,7,8.29,92%,18%,143%
24122,24,12,9.36,92%,22%,100%
44692,6,6,7.34,92%,22%,0%
35395,40,10,12.64,92%,26%,300%
35619,30,7,4.79,92%,32%,329%
6706,25.5,24,16.06,92%,33%,6%
7834,6,17,11.31,92%,33%,65%
26796,69.65,8,10.76,92%,35%,771%
18845,22.5,44,28.15,92%,36%,49%
45609,8,8,10.95,92%,37%,0%
8303,62.77,112,65.75,92%,41%,44%
30679,35,22,12.88,92%,41%,59%
31047,68,80,41.55,92%,48%,15%
41145,60,57,28.64,92%,50%,5%
36687,24,11,5.1,92%,54%,118%
29915,20,12,5.24,92%,56%,67%
16242,13,9,3.83,92%,57%,44%
37344,27,25,10.48,92%,58%,8%
13535,27.65,26,9.85,92%,62%,6%
13902,97.5,60,19.42,92%,68%,63%
38509,10,13,3.47,92%,73%,23%
40338,48,44,11.69,92%,73%,9%
18683,5,2,3.5,92%,75%,150%
36435,20,44,9.3,92%,79%,55%
5848,204,31,1.03,92%,97%,558%
23075,7,7,0,92%,100%,0%
38358,19.5,18,17.19,93%,4%,8%
21188,12,9,8.24,93%,8%,33%
28698,5,5,4.12,93%,18%,0%
30373,35.24,44,34.5,93%,22%,20%
24454,150,5,3.84,93%,23%,2900%
5178,16,21,25.9,93%,23%,24%
15349,28.15,38,47.44,93%,25%,26%
13407,15,7,8.98,93%,28%,114%
45389,44,6,7.74,93%,29%,633%
13835,56,194,250.29,93%,29%,71%
38561,51.65,39,24.42,93%,37%,32%
43919,14,19,11.29,93%,41%,26%
39378,62.5,19,11.01,93%,42%,229%
36797,24,9,5.13,93%,43%,167%
1012,18,36,19.97,93%,45%,50%
15712,41.6,29,16.08,93%,45%,43%
6559,37.5,29,15.15,93%,48%,29%
4991,9,5,7.43,93%,49%,80%
37272,11,21,9.32,93%,56%,48%
3749,37.5,26,10.51,93%,60%,44%
45292,16,16,6.32,93%,61%,0%
27278,23,27,8.38,93%,69%,15%
35096,7.5,26,7.68,93%,70%,71%
7695,17.95,54,92.55,93%,71%,67%
43632,7.5,37,10,93%,73%,80%
33498,68,28,7.47,93%,73%,143%
33464,55.5,66,114.8,93%,74%,16%
34977,5.86,8,2.08,93%,74%,27%
23771,48,8,1.9,93%,76%,500%
23694,37,267,61.15,93%,77%,86%
46955,6,34,5.95,93%,83%,82%
26181,99,7,1.03,93%,85%,1314%
33331,29,16,2.16,93%,87%,81%
6366,34.5,363,42.63,93%,88%,90%
2163,46.5,54,4.4,93%,92%,14%
28721,120,25,1.42,93%,94%,380%
7762,60,16,33.16,93%,107%,275%
44340,3.41,3,6.8,93%,127%,14%
12313,4,4,12.64,93%,216%,0%
22707,105,22,78.54,93%,257%,377%
21576,21,2,19.32,93%,866%,950%
11454,24,156,153.29,94%,2%,85%
23975,7.5,9,8.74,94%,3%,17%
43192,12.51,9,8.54,94%,5%,39%
3028,5,10,9.07,94%,9%,50%
7959,80,20,17.44,94%,13%,300%
29644,110.65,14,11.9,94%,15%,690%
29702,25,30,34.62,94%,15%,17%
11510,840,189,159.49,94%,16%,344%
37568,27,17,19.85,94%,17%,59%
11125,15,35,28.36,94%,19%,57%
48189,17,13,15.48,94%,19%,31%
13979,59.2,16,12.4,94%,23%,270%
9908,6.9,7,4.81,94%,31%,1%
44647,37.5,29,19.56,94%,33%,29%
27279,40,25,16.68,94%,33%,60%
11344,9,8,5.15,94%,36%,13%
15412,15,4,5.43,94%,36%,275%
43966,13,11,14.99,94%,36%,18%
6943,83.5,137,81.63,94%,40%,39%
19101,52.08,34,19.78,94%,42%,53%
13794,5,9,13.24,94%,47%,44%
33469,57,41,60.41,94%,47%,39%
45319,4,4,5.92,94%,48%,0%
7315,28,31,15.88,94%,49%,10%
8990,255,105,53.24,94%,49%,143%
34258,37.5,27,13,94%,52%,39%
17635,244,53,25.36,94%,52%,360%
4773,46,14,6.59,94%,53%,229%
34808,48,62,28.92,94%,53%,23%
42977,13,16,5.73,94%,64%,19%
7348,1,33,11.49,94%,65%,97%
6903,32,24,7.2,94%,70%,33%
42306,10,17,28.91,94%,70%,41%
33694,14.5,25,7.18,94%,71%,42%
6890,70.5,87,24.21,94%,72%,19%
15957,30,30,7.24,94%,76%,0%
987,5,13,2.77,94%,79%,62%
2922,133.5,6,10.94,94%,82%,2125%
5347,58,84,7.04,94%,92%,31%
18650,29.5,63,4.68,94%,93%,53%
15842,110,30,1.77,94%,94%,267%
18013,15,30,1.02,94%,97%,50%
11935,20,9,38.59,94%,329%,122%
31147,2.5,19,19.2,95%,1%,87%
33163,27.2,17,16.46,95%,3%,60%
7026,2,21,22.71,95%,8%,90%
31173,64,17,15.12,95%,11%,276%
13315,14.48,21,18.63,95%,11%,31%
26027,158.3,13,11.16,95%,14%,1118%
7453,10.5,5,5.73,95%,15%,110%
18913,16,7,8.39,95%,20%,129%
47544,25,33,25.11,95%,24%,24%
14812,120,73,51.62,95%,29%,64%
4900,92,9,6.31,95%,30%,922%
11601,50,8,10.61,95%,33%,525%
41791,12,11,14.89,95%,35%,9%
20546,12,112,67.77,95%,39%,89%
10657,80,30,17.2,95%,43%,167%
20319,14.5,118,67.61,95%,43%,88%
27393,40,41,21.48,95%,48%,2%
16209,118,39,19.55,95%,50%,203%
9435,13.6,17,25.56,95%,50%,20%
18491,725,64,31.23,95%,51%,1033%
8339,61,73,35.03,95%,52%,16%
40053,112,24,11.3,95%,53%,367%
2742,45,16,24.51,95%,53%,181%
14793,80,54,25.2,95%,53%,48%
3443,16,8,13.12,95%,64%,100%
8067,106,91,32.06,95%,65%,16%
34572,32,19,6.58,95%,65%,68%
34510,34,35,10.67,95%,70%,3%
5011,4,50,13.71,95%,73%,92%
18373,7,14,24.26,95%,73%,50%
35068,25,20,4.67,95%,77%,25%
16322,448,228,46.15,95%,80%,96%
24621,51,26,46.95,95%,81%,96%
14516,16,16,49.74,95%,211%,0%
257,12,6,39.06,95%,551%,100%
26722,23,1,9.23,95%,823%,2200%
26890,24.94,18,17.7,96%,2%,39%
43385,16,17,18.37,96%,8%,6%
43655,20,8,9.23,96%,15%,150%
11720,92,73,85.28,96%,17%,26%
29717,8,17,13.23,96%,22%,53%
9741,25,62,48.25,96%,22%,60%
22472,7.5,4,3.04,96%,24%,88%
15381,18,12,15.1,96%,26%,50%
33559,142,18,13.28,96%,26%,689%
9980,15,11,8.05,96%,27%,36%
15174,15,17,21.58,96%,27%,12%
37302,15,12,8.36,96%,30%,25%
39892,30,44,30.32,96%,31%,32%
12515,7.52,6,7.88,96%,31%,25%
38065,45,24,15.59,96%,35%,88%
41327,45,14,19.09,96%,36%,221%
8973,6,315,178.12,96%,43%,98%
11190,20,19,10.68,96%,44%,5%
20936,31.15,97,52.2,96%,46%,68%
33961,16.5,105,54,96%,49%,84%
7670,14,20,9.96,96%,50%,30%
18037,76.65,74,34.33,96%,54%,4%
23598,40.75,85,38.77,96%,54%,52%
15344,122,74,33.72,96%,54%,65%
17003,28,65,29.27,96%,55%,57%
208,13,23,9.53,96%,59%,43%
3288,17,34,12.45,96%,63%,50%
29090,40,50,16.65,96%,67%,20%
21965,10,13,3.94,96%,70%,23%
13171,660,244,69.27,96%,72%,170%
40866,37,10,17.86,96%,79%,270%
16100,63,51,7.18,96%,86%,24%
4417,15,39,0,96%,100%,62%
2688,2,4,29.53,96%,638%,50%
13689,33,21,19.96,97%,5%,57%
40735,14.54,13,11.8,97%,9%,12%
29701,38,26,23.41,97%,10%,46%
11700,18.8,27,22.76,97%,16%,30%
1989,10,43,35.82,97%,17%,77%
42354,280,139,101.08,97%,27%,101%
23254,366,259,177.84,97%,31%,41%
9034,20.5,16,21.13,97%,32%,28%
16266,294,73,47.46,97%,35%,303%
12134,15,22,30.47,97%,39%,32%
39194,20,130,77.72,97%,40%,85%
33735,45,22,31.32,97%,42%,105%
33451,4,27,15.05,97%,44%,85%
43643,42,42,22.68,97%,46%,0%
8894,60,74,39.31,97%,47%,19%
20732,40,33,17.52,97%,47%,21%
5313,37.5,39,19.91,97%,49%,4%
39472,9,49,24.85,97%,49%,82%
11647,3,33,16.24,97%,51%,91%
36041,37.5,23,10.92,97%,53%,63%
24224,45,49,22.66,97%,54%,8%
15475,7.5,69,31.08,97%,55%,89%
31156,17,20,8.96,97%,55%,15%
5472,23,37,16.43,97%,56%,38%
1390,40,37,16.33,97%,56%,8%
34186,24,30,13.16,97%,56%,20%
11639,45,80,34.54,97%,57%,44%
10368,82,74,30.87,97%,58%,11%
6698,35,7,2.81,97%,60%,400%
20848,134.5,111,31.91,97%,71%,21%
28441,40,38,65.44,97%,72%,5%
13605,165,139,35.35,97%,75%,19%
3902,45,70,14.51,97%,79%,36%
30772,55.5,58,9.56,97%,84%,4%
43031,3,56,8.75,97%,84%,95%
29215,20,20,0,97%,100%,0%
27117,520,107,0,97%,100%,386%
32215,14.9,12,25.81,97%,115%,24%
5821,32,4,11.67,97%,192%,700%
103,15,5,19.01,97%,280%,200%
19145,1.8,29,27.11,98%,7%,94%
34469,35.93,74,68.59,98%,7%,51%
11246,45,30,26.04,98%,13%,50%
14542,24,34,26.19,98%,23%,29%
24651,50,37,28.27,98%,24%,35%
40432,40,23,17.32,98%,25%,74%
13063,23.96,30,22.13,98%,26%,20%
21018,14.25,16,20.38,98%,27%,11%
40624,23,22,29.16,98%,33%,5%
23830,42.5,49,32.98,98%,33%,13%
16368,87,45,60.01,98%,33%,93%
5112,40,16,23.22,98%,45%,150%
37012,7.5,31,16.26,98%,48%,76%
9201,22.5,20,30.98,98%,55%,13%
30435,49,52,22.98,98%,56%,6%
10886,90.5,45,19.74,98%,56%,101%
33304,18,66,28.83,98%,56%,73%
27226,50,40,17.25,98%,57%,25%
16980,11,21,9,98%,57%,48%
38574,100,36,14.88,98%,59%,178%
16658,107,48,19.35,98%,60%,123%
39069,12.5,15,24.08,98%,61%,17%
8951,19,37,14.56,98%,61%,49%
35981,20,96,37.07,98%,61%,79%
28133,64,64,24.31,98%,62%,0%
31403,61,77,24.79,98%,68%,21%
21573,52.15,73,19.07,98%,74%,29%
21565,40,11,19.5,98%,77%,264%
7196,4,9,18.14,98%,102%,56%
17581,40,15,33.75,98%,125%,167%
2499,21,9,20.4,98%,127%,133%
26110,57,28,85.8,98%,206%,104%
6008,19,5,18.56,98%,271%,280%
5299,40,7,28.36,98%,305%,471%
17966,15,4,22.63,98%,466%,275%
1377,49.5,40,44.26,99%,11%,24%
30455,60.46,52,43.9,99%,16%,16%
42996,60,37,48.02,99%,30%,62%
14875,82.5,47,26.11,99%,44%,76%
14150,30,52,81.04,99%,56%,42%
34576,47,49,16.35,99%,67%,4%
2446,31,26,49.21,99%,89%,19%
16125,60,18,40.97,99%,128%,233%
10724,66,13,31.43,99%,142%,408%
37551,8.5,16,15.98,100%,0%,47%
43776,4,4,4.02,100%,0%,0%
6730,28,3,2.96,100%,1%,833%
43129,46,6,6.11,100%,2%,667%
31258,20,31,31.67,100%,2%,35%
508,3,2,2.08,100%,4%,50%
37379,45,2,2.08,100%,4%,2150%
37001,5,3,3.18,100%,6%,67%
45528,16,3,3.19,100%,6%,433%
40824,19,18,19.35,100%,8%,6%
5953,20,21,22.59,100%,8%,5%
26861,15,4,4.31,100%,8%,275%
22539,12.5,8,8.64,100%,8%,56%
44795,8,23,25.06,100%,9%,65%
35403,53,35,31.82,100%,9%,51%
16233,30,22,19.63,100%,11%,36%
32594,3,5,4.46,100%,11%,40%
2252,24,21,23.27,100%,11%,14%
40359,39,26,29.07,100%,12%,50%
37956,3,6,5.29,100%,12%,50%
8395,2.5,3,3.4,100%,13%,17%
15753,45,29,25.06,100%,14%,55%
34122,21,11,12.57,100%,14%,91%
32414,4,3,2.56,100%,15%,33%
24308,25,3,3.48,100%,16%,733%
39443,8,5,4.13,100%,17%,60%
21743,7.5,3,2.47,100%,18%,150%
35552,17,4,3.29,100%,18%,325%
39374,2.5,3,2.43,100%,19%,17%
33820,4,4,3.23,100%,19%,0%
40760,39,28,33.4,100%,19%,39%
27318,20,3,2.38,100%,21%,567%
25378,17,8,6.34,100%,21%,113%
5217,12,4,3.13,100%,22%,200%
25123,35,34,41.42,100%,22%,3%
45479,60,6,4.66,100%,22%,900%
1894,3,3,2.32,100%,23%,0%
25460,30,5,6.14,100%,23%,500%
43334,4,3,3.69,100%,23%,33%
43078,677,23,28.43,100%,24%,2843%
31604,57.5,11,13.62,100%,24%,423%
40939,18,26,19.72,100%,24%,31%
2862,15,20,15.13,100%,24%,25%
44332,2,2,2.51,100%,26%,0%
30546,7.5,3,3.79,100%,26%,150%
10541,30,3,2.2,100%,27%,900%
34455,4,4,2.91,100%,27%,0%
46959,20,22,15.95,100%,28%,9%
39604,22,3,3.83,100%,28%,633%
47282,4,3,3.84,100%,28%,33%
23819,8,7,9.04,100%,29%,14%
3531,41,3,2.08,100%,31%,1267%
44262,3,3,2.08,100%,31%,0%
38572,30,21,14.55,100%,31%,43%
40026,15,13,17.07,100%,31%,15%
6365,16,17,11.64,100%,32%,6%
48479,6,8,10.57,100%,32%,25%
15754,5.5,6,7.93,100%,32%,8%
37735,2.5,3,2.01,100%,33%,17%
13360,8,10,13.31,100%,33%,20%
47015,2,2,2.67,100%,34%,0%
28064,270,3,1.96,100%,35%,8900%
22573,7.5,5,6.76,100%,35%,50%
27590,48.5,28,18.1,100%,35%,73%
2550,20,15,9.62,100%,36%,33%
40958,42,12,7.65,100%,36%,250%
46945,10,11,7,100%,36%,9%
20679,30,2,2.73,100%,37%,1400%
30466,2,6,3.78,100%,37%,67%
28594,7.5,10,6.29,100%,37%,25%
47737,25.5,4,2.51,100%,37%,538%
25983,6,5,3.12,100%,38%,20%
23821,12,5,6.9,100%,38%,140%
29640,15,11,6.75,100%,39%,36%
30330,6,5,3.04,100%,39%,20%
40876,30.5,3,1.82,100%,39%,917%
28053,8,21,12.67,100%,40%,62%
39307,5,4,2.39,100%,40%,25%
42997,15,6,8.42,100%,40%,150%
7228,50,2,1.19,100%,41%,2400%
27934,280,12,6.94,100%,42%,2233%
18223,12,6,8.55,100%,43%,100%
24310,40,5,2.82,100%,44%,700%
15787,36,14,7.82,100%,44%,157%
1119,6,2,2.89,100%,45%,200%
17963,30,37,53.76,100%,45%,19%
39803,5.5,19,10.13,100%,47%,71%
3319,6,4,2.08,100%,48%,50%
12195,10,4,2.08,100%,48%,150%
39862,23,13,6.75,100%,48%,77%
30427,39,5,2.52,100%,50%,680%
3160,7.5,14,6.79,100%,52%,46%
4138,6,5,2.42,100%,52%,20%
30556,97.5,34,16.31,100%,52%,187%
39838,75.15,7,3.31,100%,53%,974%
48142,3,3,1.4,100%,53%,0%
28627,5,5,2.26,100%,55%,0%
16074,4,5,2.23,100%,55%,20%
40996,5,5,2.2,100%,56%,0%
6686,32.5,5,2.17,100%,57%,550%
25529,60,5,2.17,100%,57%,1100%
11992,3,4,1.72,100%,57%,25%
40514,15,18,7.73,100%,57%,17%
17022,8,7,2.97,100%,58%,14%
28016,40,41,16.45,100%,60%,2%
26953,71.65,32,12.17,100%,62%,124%
32155,47,7,2.65,100%,62%,571%
18527,50,26,9.82,100%,62%,92%
30652,9,7,2.64,100%,62%,29%
29275,7.5,10,3.72,100%,63%,25%
5098,78,8,2.97,100%,63%,875%
1474,95,7,2.49,100%,64%,1257%
25577,4,4,1.42,100%,65%,0%
33375,3,6,2.08,100%,65%,50%
9821,170,7,2.36,100%,66%,2329%
33645,5,5,1.67,100%,67%,0%
22636,12,15,5,100%,67%,20%
17668,5,5,8.35,100%,67%,0%
23826,38,31,10.2,100%,67%,23%
16028,73,6,1.96,100%,67%,1117%
18164,58,6,1.94,100%,68%,867%
43347,6,6,1.92,100%,68%,0%
22441,61.65,16,5.09,100%,68%,285%
34396,3,8,2.54,100%,68%,63%
7661,30,6,1.9,100%,68%,400%
28760,21.5,51,16.01,100%,69%,58%
5260,30,15,4.6,100%,69%,100%
102,16,5,8.49,100%,70%,220%
33872,7.5,14,4.14,100%,70%,46%
31388,15,23,6.79,100%,70%,35%
40853,23.5,6,1.77,100%,71%,292%
29437,5,14,4.1,100%,71%,64%
43622,4,6,1.71,100%,72%,33%
28864,5,13,3.59,100%,72%,62%
27952,42,12,3.3,100%,73%,250%
8888,30,52,14.24,100%,73%,42%
6409,16,8,2.1,100%,74%,100%
45586,42,16,4.14,100%,74%,163%
23997,22.5,5,1.28,100%,74%,350%
17912,530,108,27.04,100%,75%,391%
22811,15,11,2.75,100%,75%,36%
34578,88,43,10.59,100%,75%,105%
9174,14,10,2.38,100%,76%,40%
29307,2.5,21,4.96,100%,76%,88%
13287,2.5,22,5.09,100%,77%,89%
41727,6,13,2.97,100%,77%,54%
24319,5,11,2.42,100%,78%,55%
47806,9,10,2.08,100%,79%,10%
2236,40,2,3.6,100%,80%,1900%
49224,11,13,2.6,100%,80%,15%
26700,72.65,29,5.64,100%,81%,151%
15136,126.3,161,30.79,100%,81%,22%
16137,311.9,243,46.19,100%,81%,28%
7984,15,3,0.57,100%,81%,400%
1224,15,14,2.6,100%,81%,7%
16836,148,29,5.37,100%,81%,410%
21394,24.5,18,3.22,100%,82%,36%
14266,27,35,5.88,100%,83%,23%
21554,39.5,60,9.47,100%,84%,34%
37239,96.3,37,5.62,100%,85%,160%
21225,268.5,30,4.54,100%,85%,795%
2815,10,22,3.27,100%,85%,55%
31383,185,14,2.08,100%,85%,1221%
29467,45,29,4.25,100%,85%,55%
16374,60,14,2,100%,86%,329%
7922,15,14,1.95,100%,86%,7%
29937,3,3,0.4,100%,87%,0%
19592,51.65,106,13.73,100%,87%,51%
14539,75,88,11.24,100%,87%,15%
13345,62,13,1.6,100%,88%,377%
2333,74.5,17,31.91,100%,88%,338%
24247,36,19,2.26,100%,88%,89%
46826,80,20,2.17,100%,89%,300%
8911,30,41,4.37,100%,89%,27%
11903,22.5,29,2.99,100%,90%,22%
25490,75,53,5.31,100%,90%,42%
19060,4,21,2.08,100%,90%,81%
44774,65,27,2.32,100%,91%,141%
41754,22.5,25,2.13,100%,91%,10%
24965,62.65,42,3.46,100%,92%,49%
33450,5,8,0.6,100%,93%,38%
23389,32.5,46,3.31,100%,93%,29%
8130,68,44,2.76,100%,94%,55%
167,45,42,2.43,100%,94%,7%
18840,70,107,5.7,100%,95%,35%
23115,8,6,11.69,100%,95%,33%
5050,61,69,3.33,100%,95%,12%
25009,47,73,3.49,100%,95%,36%
28236,187.5,61,2.52,100%,96%,207%
20926,56.5,55,2.17,100%,96%,3%
17900,117.5,56,2.12,100%,96%,110%
2793,61,112,4.2,100%,96%,46%
29091,50,84,2.26,100%,97%,40%
3765,120,102,2.45,100%,98%,18%
11360,65,3,0,100%,100%,2067%
47078,7,7,0,100%,100%,0%
32150,171.3,34,0,100%,100%,404%
1179,10,10,20.07,100%,101%,0%
35569,7.5,3,6.23,100%,108%,150%
43177,3,1,2.08,100%,108%,200%
35042,5,1,2.13,100%,113%,400%
37230,2.5,1,2.13,100%,113%,150%
2772,28,1,2.17,100%,117%,2700%
21592,1.5,3,6.55,100%,118%,50%
5096,2,1,2.2,100%,120%,100%
45061,84,7,15.98,100%,128%,1100%
45042,44,1,2.32,100%,132%,4300%
27951,1,1,2.41,100%,141%,0%
17015,27.5,1,2.43,100%,143%,2650%
35682,1.5,1,2.54,100%,154%,50%
43676,1,1,2.64,100%,164%,0%
31233,4,1,2.88,100%,188%,300%
37243,5,1,3.13,100%,213%,400%
44596,2.5,2,6.3,100%,215%,25%
980,17.5,1,3.19,100%,219%,1650%
567,30,4,12.85,100%,221%,650%
37511,11,1,3.44,100%,244%,1000%
2800,55,6,20.97,100%,250%,817%
39728,2,1,3.6,100%,260%,100%
45119,3,1,3.78,100%,278%,200%
24459,224,5,21.76,100%,335%,4380%
16745,7.5,1,4.41,100%,341%,650%
39665,1.5,1,4.98,100%,398%,50%
17206,17,2,12.07,100%,504%,750%
9561,4.5,1,7.82,100%,682%,350%
1183,5,2,17.5,100%,775%,150%